股票代號,股票名稱,,近240日成交量合計,近240日籌碼集中度
0050,元大台灣50,,4108337,-17.4
0051,元大中型100,,14713,-11.2
0052,富邦科技,,183348,-8
0053,元大電子,,3827,0.6
0054,- -,,4998,- -
0055,元大MSCI金融,,171893,-5.3
0056,元大高股息,,7376139,-36.2
0057,富邦摩台,,25427,0
0061,元大寶滬深,,66743,1.9
006201,元大富櫃50,,38337,-6.5
006203,元大MSCI台灣,,3150,-6.9
006204,永豐臺灣加權,,12608,0.3
006205,富邦上証,,337029,0.8
006206,元大上證50,,36303,3
006207,FH滬深,,100636,0.3
006208,富邦台50,,1276146,-22.4
00625K,富邦上証+R,,24,0
00631L,元大台灣50正2,,1814354,-1.9
00632R,元大台灣50反1,,51757086,-0.5
00633L,富邦上証正2,,3287740,-1.1
00634R,富邦上証反1,,412270,2
00635U,期元大S&P黃金,,198003,3.5
00636,國泰中國A50,,321321,0.2
00636K,國泰中國A50+U,,18,0
00637L,元大滬深300正2,,24689543,-1
00638R,元大滬深300反1,,413769,1
00639,富邦深100,,233809,-0.2
00640L,富邦日本正2,,128678,-0.2
00641R,富邦日本反1,,170363,-3.7
00642U,期元大S&P石油,,1831667,16.2
00643,群益深証中小,,129316,0.6
00645,富邦日本,,54018,0.4
00646,元大S&P500,,304642,-6.9
00647L,元大S&P500正2,,134742,-2
00648R,元大S&P500反1,,1177233,-2
00650L,FH香港正2,,2299947,-1.5
00651R,FH香港反1,,313632,-1.7
00652,富邦印度,,46594,1.3
00653L,富邦印度正2,,125413,1.1
00654R,富邦印度反1,,195757,-3
00655L,國泰中國A50正2,,1156182,-1.1
00656R,國泰中國A50反1,,215828,0.2
00657,國泰日經225,,8138,0.1
00657K,國泰日經225+U,,26,0
00660,元大歐洲50,,7656,-0.1
00661,元大日經225,,4068,0.1
00662,富邦NASDAQ,,269331,-21.3
00663L,國泰臺灣加權正2,,78888,0
00664R,國泰臺灣加權反1,,3434372,-0.4
00665L,富邦恒生國企正2,,3132593,-3.2
00666R,富邦恒生國企反1,,155076,-0.3
00668,國泰美國道瓊,,26865,1.2
00668K,國泰美國道瓊+U,,10,0
00669R,國泰美國道瓊反1,,2238665,-7
00670L,富邦NASDAQ正2,,961634,-5.7
00671R,富邦NASDAQ反1,,5081082,-1.5
00673R,期元大S&P原油反1,,10631796,-2.8
00674R,期元大S&P黃金反1,,306703,-6.3
00675L,富邦臺灣加權正2,,368866,-2.4
00676R,富邦臺灣加權反1,,3060336,-1.3
00678,群益NBI生技,,169974,2
00679B,元大美債20年,,1235887,-26
00680L,元大美債20正2,,433281,-18.7
00681R,元大美債20反1,,137653,-0.8
00682U,期元大美元指數,,55975,0.2
00683L,期元大美元指正2,,316392,-2.6
00684R,期元大美元指反1,,9883,-0.3
00685L,群益臺灣加權正2,,18405,-3.5
00686R,群益臺灣加權反1,,320643,-0.4
00687B,國泰20年美債,,205975,-1.6
00688L,國泰20年美債正2,,198590,-7.6
00689R,國泰20年美債反1,,63554,0.1
00690,兆豐藍籌30,,91309,-11.2
00692,富邦公司治理,,966702,-14.6
00693U,期街口S&P黃豆,,114341,6.9
00694B,富邦美債1-3年,,77557,0.6
00695B,富邦美債7-10年,,84784,0.4
00696B,富邦美債20年,,96889,-2.2
00697B,元大美債7-10,,159704,-1.1
00700,富邦恆生國企,,137509,-1.9
00701,國泰股利精選30,,693574,-18.3
00702,國泰標普低波高息,,63534,0.4
00703,台新MSCI中國,,62630,-0.3
00706L,期元大S&P日圓正2,,492785,-8.3
00707R,期元大S&P日圓反1,,6529,-0.1
00708L,期元大S&P黃金正2,,415198,3.9
