Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2016-01-04,46537030,942513988,19.91,20.4,19.87,20.35,0.44,8758,27833000,1415000,17000,0,4177000,493000,0,0
2016-01-05,38668100,787925970,20.39,20.5,20.23,20.48,0.13,5191,8757000,5112000,11000,5113000,10991000,295000,0,0
2016-01-06,44361600,915269448,20.45,20.8,20.45,20.65,0.17,6376,15204000,2026000,84000,2004000,5527000,896000,0,0
2016-01-07,66465287,1394513074,20.7,21.22,20.64,21.01,0.36,8543,36744000,2031000,262000,1359000,6712000,649000,57000,0
2016-01-08,73267628,1536108994,21.1,21.18,20.81,20.87,-0.14,6309,51153000,3026000,218000,0,12993000,530000,201000,0
2016-01-11,51077065,1083429994,21.13,21.38,21.08,21.21,0.34,7263,22515000,2485000,224000,0,9186000,540000,0,0
2016-01-12,31486215,668957612,21.15,21.39,21.07,21.32,0.11,4379,6806000,2188000,224000,0,10456000,641000,0,0
2016-01-13,34502522,727567288,21.15,21.24,20.95,21.11,-0.21,5261,6775000,2402000,255000,0,14697000,2502000,855000,0
2016-01-14,54396173,1164625996,21.5,21.58,21.3,21.32,0.21,6348,6211000,10016000,349000,0,17997000,1401000,4603000,0
2016-01-15,41945229,894282251,21.09,21.53,21.09,21.46,0.14,5586,5940000,2684000,376000,0,11034000,2005000,4846000,0
2016-01-18,69368127,1478894797,21.71,21.71,21.0,21.01,-0.45,10105,9344000,2713000,267000,0,11809000,7464000,13452000,0
2016-01-19,57358317,1205717430,21.02,21.16,20.9,20.9,-0.11,4268,35979000,3881000,207000,0,7491000,6282000,230000,0
2016-01-20,43317738,924345756,21.07,21.53,21.06,21.45,0.55,5642,12682000,1442000,1741000,0,10025000,3067000,0,0
2016-01-21,45195799,966134394,21.3,21.52,21.25,21.48,0.03,6188,5087000,4021000,818000,0,23675000,831000,0,0
2016-01-22,37371570,795500398,21.24,21.42,21.17,21.19,-0.29,5421,6932000,2022000,263000,0,12769000,2439000,826000,0
2016-01-25,40782801,850952341,21.01,21.04,20.79,20.83,-0.36,6608,7465000,2848000,343000,0,15290000,3898000,80000,0
2016-01-26,19393620,407788180,21.05,21.09,20.94,21.03,0.2,2883,5195000,1533000,191000,0,5902000,615000,131000,0
2016-01-27,17153174,359238977,20.87,21.04,20.83,20.94,-0.09,3218,1513000,617000,152000,0,7784000,284000,3000,0
2016-01-28,32045149,667021512,20.99,20.99,20.7,20.8,-0.14,4479,6058000,2610000,66000,0,13203000,1724000,842000,0
2016-01-29,64797319,1328617326,20.89,20.9,20.26,20.3,-0.5,10139,16882000,1233000,102000,0,18408000,5661000,681000,3629000
2016-01-30,37696500,756692760,20.15,20.15,20.01,20.01,-0.29,5827,9950000,989000,0,0,3786000,1572000,0,1462000
2016-02-01,20782449,418059500,20.03,20.2,20.03,20.09,0.08,3574,5101000,1295000,36000,0,2952000,5791000,0,0
2016-02-02,16164487,325461712,20.2,20.24,20.05,20.12,0.03,2534,2556000,674000,0,0,4168000,668000,65000,0
2016-02-03,29557056,599785239,20.26,20.4,20.22,20.29,0.17,4205,7025000,2528000,628000,0,6824000,2110000,71000,0
2016-02-15,37224999,760637459,20.65,20.65,20.28,20.29,0.0,5591,1710000,1320000,49000,0,20864000,1710000,307000,0
2016-02-16,52766244,1053890136,20.22,20.23,19.84,19.88,-0.41,10402,1796000,1580000,0,0,35551000,1234000,946000,0
2016-02-17,44342831,881296489,19.8,19.94,19.78,19.94,0.06,5219,659000,1943000,500000,0,34619000,148000,199000,2129000
2016-02-18,60539122,1190398975,19.73,19.77,19.56,19.66,-0.28,9839,1629000,2644000,300000,0,45685000,245000,79000,1256000
2016-02-19,33503441,658446714,19.7,19.74,19.6,19.63,-0.03,4068,93000,1021000,24000,0,26614000,220000,0,0
2016-02-22,40487314,791082183,19.62,19.7,19.39,19.61,-0.02,7658,2530000,1407000,318000,0,22930000,879000,52000,0
2016-02-23,31740532,622984443,19.59,19.69,19.53,19.64,0.03,5070,1008000,970000,804000,0,21598000,1793000,7000,0
2016-02-24,43961869,863799642,19.63,19.81,19.46,19.78,0.14,9617,3611000,3711000,131000,0,25802000,1002000,149000,0
2016-02-25,58639135,1146547067,19.66,19.68,19.47,19.52,-0.26,11019,1576000,1688000,271000,0,45713000,49000,9000,0
2016-02-26,33820939,658398147,19.47,19.58,19.37,19.46,-0.06,6990,763000,581000,430000,0,20723000,2194000,25000,0
2016-03-01,58824827,1135767783,19.48,19.49,19.21,19.26,-0.2,11208,1169000,3601000,240000,0,38429000,2073000,24000,0
2016-03-02,61340699,1170764217,19.07,19.16,19.0,19.14,-0.12,9705,1829000,1255000,87000,0,42102000,987000,68000,0
2016-03-03,78984916,1502754181,19.11,19.11,18.94,19.02,-0.12,11848,662000,4221000,300000,0,67183000,534000,182000,0
2016-03-04,51482471,975688955,18.97,19.04,18.9,18.94,-0.08,8805,662000,454000,160000,0,39289000,120000,76000,0
2016-03-07,70077478,1322445112,18.91,18.99,18.75,18.92,-0.02,12452,2752000,2077000,854000,0,48220000,2160000,254000,0
2016-03-08,67584392,1283464478,18.94,19.09,18.9,18.92,0.0,9263,551000,1621000,507000,0,47962000,1035000,14000,0
2016-03-09,60100750,1137902842,18.95,19.01,18.86,18.9,-0.02,8012,675000,3000000,520000,0,25096000,430000,20935000,0
2016-03-10,58437069,1100860882,18.89,18.93,18.77,18.84,-0.06,8633,2043000,2035000,722000,0,20027000,2929000,20779000,0
2016-03-11,86894176,1632247637,18.87,18.88,18.69,18.7,-0.14,12629,494000,3282000,829000,0,35430000,1818000,29387000,0
2016-03-14,65480553,1216816997,18.61,18.62,18.55,18.6,-0.1,10636,547000,2260000,958000,0,15982000,772000,32226000,0
2016-03-15,92819277,1744336863,18.61,18.97,18.59,18.97,0.37,16335,5220000,5076000,861000,0,38959000,1041000,18025000,0
2016-03-16,94325251,1772421061,18.86,18.86,18.75,18.81,-0.16,12804,213000,5065000,663000,0,40826000,785000,36150000,0
2016-03-17,129467997,2400913114,18.63,18.69,18.42,18.65,-0.16,22021,1524000,4809000,1549000,0,76936000,4602000,11636000,0
2016-03-18,83524069,1548276958,18.64,18.64,18.49,18.52,-0.13,12684,891000,1985000,211000,0,55508000,2040000,3111000,0
2016-03-21,49466090,917392623,18.45,18.66,18.44,18.5,-0.02,7928,801000,2010000,82000,0,24018000,1415000,822000,0
2016-03-22,68456326,1276272051,18.52,18.72,18.52,18.58,0.08,8987,3645000,3387000,65000,0,33358000,725000,3706000,0
2016-03-23,56477151,1047972837,18.59,18.63,18.47,18.6,0.02,7312,604000,3532000,90000,0,26889000,1180000,11418000,0
2016-03-24,70757810,1319928967,18.68,18.78,18.54,18.61,0.01,9600,8691000,3013000,94000,250000,28770000,960000,1443000,0
2016-03-25,36321315,676439185,18.56,18.69,18.53,18.65,0.04,4398,3085000,1807000,80000,250000,16179000,2737000,116000,0
