Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,197420151,1172489755,5.96,6.0,5.88,5.88,-0.03,9013,53306452,2340000,5786000,0,62459823,1300000,9839000,0
2023-01-04,98957573,582500743,5.9,5.91,5.86,5.9,0.02,4587,38450000,4526000,1121000,0,27950003,884000,2000,0
2023-01-05,143100580,837089299,5.84,5.88,5.82,5.87,-0.03,6022,51262000,3300000,2913000,0,33094848,0,2595000,0
2023-01-06,215118304,1254578394,5.87,5.87,5.8,5.82,-0.05,8393,71509000,8804000,1673000,0,60822380,500000,66957000,0
2023-01-09,429924070,2452510842,5.72,5.74,5.66,5.66,-0.16,21101,93772000,2310000,73983000,0,72138094,2700000,2151000,0
2023-01-10,212388298,1200564154,5.66,5.68,5.63,5.64,-0.02,8688,44251000,2710000,44575000,0,67393518,200000,3153000,0
2023-01-11,96023794,541935395,5.62,5.67,5.62,5.65,0.01,4591,39846000,4696000,3741000,0,23560912,300000,173000,0
2023-01-12,85417138,482966714,5.63,5.68,5.63,5.66,0.01,4512,35723000,520000,499000,0,15066815,750000,0,0
2023-01-13,149320789,836401181,5.58,5.64,5.57,5.63,-0.03,12498,12558000,3630000,1894000,0,59318770,998000,12193000,0
2023-01-16,125863687,702844666,5.58,5.6,5.57,5.59,-0.04,11962,25427000,250000,499000,0,21687560,1287000,24346000,0
2023-01-17,116332210,649468423,5.59,5.6,5.57,5.58,-0.01,6891,33030000,5000000,499000,0,19317000,450000,14840000,0
2023-01-30,280063792,1511902969,5.39,5.43,5.35,5.4,-0.18,15757,23681000,370000,8762000,0,124739721,3685000,30940000,0
2023-01-31,122526544,663535100,5.4,5.45,5.39,5.44,0.04,6587,32353000,2100000,10000,0,43975584,320000,11666000,0
2023-02-01,109589195,594109239,5.41,5.45,5.4,5.42,-0.02,4854,45185000,2100000,1799000,0,18300835,1020000,1497000,0
2023-02-02,256413505,1372837109,5.37,5.38,5.33,5.35,-0.07,14806,23580000,2215000,21297000,0,121424895,9676000,3775000,0
2023-02-03,121506055,650254388,5.36,5.38,5.33,5.34,-0.01,6480,6771000,1320000,998000,0,60573998,920000,9074000,0
2023-02-06,100556871,542055007,5.38,5.4,5.37,5.4,0.06,5872,35759097,10368000,655000,0,7494000,1410000,14313000,0
2023-02-07,60687961,327927059,5.41,5.42,5.39,5.41,0.01,3794,13032000,1650000,519000,0,5678000,400000,11143000,0
2023-02-08,155903310,833411431,5.37,5.37,5.33,5.34,-0.07,10154,2467000,2250000,499000,0,86544363,1470000,13020000,0
2023-02-09,77211275,412716462,5.36,5.36,5.33,5.34,0.0,4063,9139000,1937000,499000,0,29639000,250000,11985000,0
2023-02-10,106925115,572262149,5.36,5.37,5.34,5.35,0.01,5365,13592000,2691000,612000,0,41261200,0,31902000,0
2023-02-13,117295672,630588661,5.36,5.4,5.35,5.37,0.02,4590,18042169,3398000,3104000,0,49317436,0,16615000,0
2023-02-14,144252915,767560161,5.34,5.34,5.3,5.32,-0.05,8353,11836000,530000,499000,0,76246906,499000,10952000,0
2023-02-15,254869102,1373998653,5.38,5.41,5.35,5.41,0.09,8879,115993000,1300000,647000,0,20577000,400000,90678000,0
2023-02-16,216600746,1159536331,5.37,5.38,5.33,5.34,-0.07,8530,43134000,0,860000,0,59690973,4231000,78518000,0
2023-02-17,138377640,745426970,5.38,5.4,5.37,5.39,0.05,5567,57635130,4110000,499000,0,19126000,3250000,30164000,0
2023-02-20,89541534,480474496,5.39,5.4,5.34,5.36,-0.03,4358,3025000,0,509000,0,38207822,0,721000,0
2023-02-21,64450588,345522161,5.37,5.38,5.35,5.35,-0.01,3257,11929000,1900000,998000,0,19414366,150000,1280000,0
2023-02-22,198489210,1075006812,5.41,5.43,5.4,5.41,0.06,8735,15898000,21150000,612000,0,71739000,990000,537000,0
2023-02-23,227296728,1214002585,5.37,5.38,5.31,5.33,-0.08,12136,15745000,4580000,692000,0,112762783,1100000,748000,0
2023-02-24,130181819,693631113,5.32,5.36,5.3,5.35,0.02,5119,25266000,2699000,998000,0,58082409,299000,1175000,0
2023-03-01,187032755,1006687978,5.41,5.43,5.34,5.34,-0.01,7033,59426902,10731000,676000,0,41835964,1150000,7734000,0
2023-03-02,99191081,531240525,5.36,5.39,5.34,5.35,0.01,3606,6556002,11291000,499000,0,58618610,200000,94000,0
2023-03-03,115830072,616478299,5.33,5.34,5.31,5.33,-0.02,5931,13624000,4485000,533000,0,49957140,4650000,297000,0
2023-03-06,288848283,1523142892,5.29,5.31,5.25,5.26,-0.07,14327,98925000,1650000,1191000,0,66174843,15185000,650000,0
2023-03-07,144125871,756155964,5.27,5.28,5.23,5.23,-0.03,8111,35519000,600000,1000000,0,32631477,538000,501000,0
2023-03-08,107363662,565873325,5.28,5.29,5.26,5.26,0.03,5095,30344000,0,1157000,0,19287000,18457000,2563000,0
2023-03-09,63003738,331812380,5.24,5.28,5.24,5.28,0.02,3150,10209000,500000,1448000,0,26218000,2600000,501000,0
2023-03-10,249345880,1335776510,5.33,5.38,5.33,5.37,0.09,11547,34639000,9476000,2644000,0,46580000,970000,200000,0
2023-03-13,249977616,1344741024,5.38,5.42,5.35,5.35,-0.02,11093,29340000,27455000,1273000,0,67319000,2040000,1118000,0
2023-03-14,210667069,1138852959,5.4,5.43,5.39,5.41,0.06,8494,86412190,11807000,12119000,0,24613000,690000,1232000,0
2023-03-15,156634560,842154148,5.38,5.41,5.35,5.39,-0.02,6371,45189000,12020000,4338000,0,37043718,8620000,1643000,0
2023-03-16,299741255,1629459008,5.42,5.47,5.4,5.45,0.06,11719,120456771,9495000,3287001,0,56516025,21272000,2276000,0
2023-03-17,196575010,1059085421,5.41,5.41,5.37,5.37,-0.08,8568,8158000,3199000,3269000,0,94542142,18997000,645000,0
2023-03-20,114520792,615297305,5.35,5.39,5.35,5.38,0.01,4008,55852000,400000,75000,0,9422250,18997000,52000,0
2023-03-21,120372038,643808684,5.35,5.37,5.33,5.35,-0.03,5005,36324000,499000,5931000,0,24417203,11778000,998000,0
2023-03-22,261765385,1382571878,5.31,5.32,5.26,5.26,-0.09,14750,7305000,1098000,1188000,0,123670100,2400000,1133000,0
2023-03-23,225573047,1182828385,5.28,5.28,5.21,5.23,-0.03,11552,16135000,1703000,501000,0,83400922,11348000,2882000,0
2023-03-24,159618156,832336026,5.22,5.24,5.2,5.2,-0.03,10168,12574000,2500000,9000,0,57380496,1860000,10000,0
2023-03-27,107885143,563931657,5.22,5.24,5.21,5.24,0.04,4263,53577000,4449000,1141000,0,47906000,900000,2909000,0
2023-03-28,121351222,639656887,5.25,5.29,5.23,5.28,0.04,5479,54946284,1050000,1565000,0,15801000,750000,2974000,0
2023-03-29,113604488,598246128,5.27,5.29,5.24,5.27,-0.01,3955,7954890,4548000,11133000,0,67183093,500000,6168000,0
2023-03-30,85944219,449599293,5.23,5.25,5.22,5.23,-0.04,4922,9897000,1049000,565000,0,28280325,400000,1659000,0
2023-03-31,174838152,909530281,5.21,5.22,5.18,5.22,-0.01,8525,38991000,2129000,1048000,0,78167798,5000000,2196000,0
2023-04-06,99220786,520984770,5.25,5.27,5.23,5.25,0.03,4850,44472620,3599000,1751000,0,3976000,750000,11475000,0
2023-04-07,55834214,291789969,5.22,5.24,5.21,5.23,-0.02,3072,7032000,4988000,998000,0,24426298,0,1124000,0
2023-04-10,90750713,473114640,5.22,5.23,5.19,5.22,-0.01,3528,35195000,2500000,620000,0,22072100,2850000,26000,0
2023-04-11,89176169,463790143,5.22,5.23,5.19,5.2,-0.02,4993,4602000,600000,499000,0,32353509,3500000,1000,0
2023-04-12,54914614,285597396,5.2,5.22,5.19,5.19,-0.01,2749,18634000,400000,504000,0,18113000,100000,0,0
2023-04-13,84340563,440791824,5.22,5.24,5.21,5.24,0.05,3793,12092081,6899000,1447000,0,31977000,2780000,1226000,0
2023-04-14,123637327,642672516,5.21,5.23,5.18,5.19,-0.05,7437,11040000,150000,499000,0,60494000,1000000,1840000,0
2023-04-17,57521893,299246868,5.2,5.22,5.19,5.2,0.01,2706,30900000,200000,837000,0,2862462,650000,0,0
2023-04-18,57984175,301903755,5.21,5.22,5.19,5.21,0.01,2713,15235000,550000,504000,0,8121418,500000,10000,0
2023-04-19,94844973,495785521,5.21,5.25,5.2,5.23,0.02,3944,44498000,700000,2114000,0,16743298,16367000,1013000,0
2023-04-20,121004469,635792069,5.25,5.27,5.23,5.25,0.02,5347,55847000,1595000,499000,0,23226000,1275000,608000,0
2023-04-21,149420119,788242418,5.24,5.3,5.24,5.29,0.04,6597,48338452,3000000,3091000,0,24552000,5992000,759000,0
2023-04-24,85444580,452469343,5.31,5.32,5.28,5.29,0.0,4454,12081000,2950000,0,0,15705000,880000,43000,0
2023-04-25,174941458,934201216,5.28,5.37,5.28,5.36,0.07,10234,82177317,8608000,138000,0,10073000,3950000,2178000,0
2023-04-26,215853982,1160374868,5.37,5.4,5.36,5.36,0.0,8006,109785545,15543000,0,0,28309000,499000,19000,0
2023-04-27,125519235,673274406,5.37,5.4,5.34,5.36,0.0,4476,53118473,1898000,401000,0,14537043,1782000,304000,0
2023-04-28,194284502,1031957342,5.32,5.33,5.29,5.31,-0.05,6237,75444130,8360000,6387000,0,66620949,1100000,2567000,0
2023-05-02,94564181,499984419,5.3,5.31,5.27,5.28,-0.03,4577,10560000,7580000,714000,0,33201676,499000,641000,0
2023-05-03,74901078,397468996,5.31,5.32,5.29,5.3,0.02,2727,19373951,4700000,6000,0,20261000,6195000,499000,0
2023-05-04,85504352,453636936,5.33,5.33,5.28,5.28,-0.02,2976,9852000,9111000,399000,0,28334519,499000,898000,0
2023-05-05,70174418,370380531,5.27,5.3,5.26,5.28,0.0,2772,8415000,420000,499000,0,26122700,3780000,505000,0
2023-05-08,98623068,517541237,5.25,5.26,5.24,5.25,-0.03,4637,20612000,450000,500980,0,38969383,1620000,4287000,0
2023-05-09,63853243,335598869,5.26,5.28,5.24,5.24,-0.01,2541,7851000,575000,499000,0,28559166,0,460000,0
2023-05-10,71872980,379660951,5.26,5.3,5.26,5.28,0.04,2798,35338636,6440000,998000,0,13218000,100000,0,0
2023-05-11,98695748,523417262,5.27,5.32,5.26,5.32,0.04,4208,18625511,3700000,538000,0,30927907,640000,1513000,0
2023-05-12,108080852,576141900,5.34,5.35,5.3,5.32,0.0,4028,49904272,1578000,507000,0,4063000,2672000,0,0
2023-05-15,98992501,527927507,5.34,5.35,5.31,5.32,0.0,2899,13514000,3169000,502000,0,50655000,1478000,3640000,0
2023-05-16,145435613,766544479,5.29,5.3,5.25,5.27,-0.05,6518,8486000,2221000,501000,0,82466605,2441000,2295000,0
2023-05-17,370762515,1930388507,5.26,5.26,5.17,5.18,-0.09,18300,7458000,16272000,28000,0,274912164,400000,2420000,0
2023-05-18,268467674,1376483680,5.14,5.15,5.11,5.12,-0.06,15861,44156000,1770000,514000,0,83858382,17151000,1013000,0
2023-05-19,199107567,1015164376,5.1,5.12,5.09,5.1,-0.02,9744,50280000,1700000,505000,0,49302171,23113000,2426000,0
2023-05-22,78978165,402548388,5.1,5.11,5.09,5.09,-0.01,4244,16348000,0,499000,0,23358265,4613000,0,0
2023-05-23,69443393,353794818,5.09,5.12,5.07,5.1,0.01,4602,23491000,0,499000,0,21768113,1677000,0,0
2023-05-24,96444695,494059884,5.12,5.14,5.1,5.11,0.01,4832,18646000,1214000,599000,0,29914231,909000,426000,0
2023-05-25,154480026,783809972,5.07,5.1,5.06,5.06,-0.05,9023,29385000,0,965000,0,58035721,3200000,1941000,0
2023-05-26,270965400,1355306076,5.01,5.02,4.99,4.99,-0.07,16207,24539000,2400000,2278000,0,89833954,4675000,2357000,0
2023-05-29,255068780,1261003880,4.93,4.96,4.93,4.94,-0.05,9642,148246000,500000,812000,0,9013736,7748000,529000,0
2023-05-30,88760526,439426027,4.95,4.97,4.94,4.94,0.0,4801,20064000,0,504000,0,26504943,200000,599000,0
2023-05-31,83432003,414386848,4.96,4.99,4.94,4.97,0.03,4276,34751000,1687000,0,0,8585000,1619000,5518000,0
2023-06-01,78786137,392603230,4.99,5.0,4.97,4.98,0.01,3911,36164000,1200000,499000,0,15887000,7949000,2000000,0
2023-06-02,240761974,1184108995,4.95,4.95,4.9,4.91,-0.07,11852,71372000,7189000,3218000,0,59563987,7600000,6000,0
2023-06-05,183169425,898964528,4.91,4.92,4.89,4.92,0.01,6005,115167000,2650000,3186000,0,13547339,8127000,2000,0
2023-06-06,73708253,361605421,4.92,4.92,4.89,4.9,-0.02,3772,8191000,1700000,499000,0,42396421,8248000,841000,0
2023-06-07,194318742,945329132,4.89,4.9,4.85,4.85,-0.05,10977,64556000,1598000,1008000,0,28887095,21685000,419000,0
2023-06-08,109704316,536735361,4.87,4.92,4.86,4.91,0.06,5800,46468000,1100000,1729000,0,24316000,3971000,1245000,0
2023-06-09,85994211,418394479,4.88,4.89,4.85,4.86,-0.05,4694,21382000,2798000,2252000,0,21561607,10497000,1230000,0
2023-06-12,107625273,520367407,4.84,4.85,4.82,4.84,-0.02,5964,29387000,400000,1854000,0,40240206,3496000,100000,0
2023-06-13,264756440,1261996713,4.8,4.8,4.74,4.75,-0.09,15240,63409000,1800000,2525000,0,70637498,8244000,4098000,0
2023-06-14,96601678,459987992,4.77,4.78,4.75,4.76,0.01,4156,49098000,1300000,3571000,0,22521000,9300000,0,0
2023-06-15,166511834,788901658,4.75,4.76,4.72,4.73,-0.03,7679,74406000,1399000,3509000,0,39970167,6834000,51980,0
2023-06-16,99514084,471888251,4.74,4.76,4.73,4.74,0.01,4674,30973000,501000,7245000,0,22101726,1250000,3194000,0
2023-06-19,81004167,385055301,4.76,4.77,4.74,4.75,0.01,3737,38585000,5310000,1285000,0,18518000,1250000,64000,0
2023-06-20,95116669,453663489,4.76,4.79,4.75,4.77,0.02,4587,35003000,5215000,4305000,0,43745556,900000,1709000,0
2023-06-21,85491836,407666351,4.77,4.78,4.75,4.77,0.0,4070,35250000,7700000,499000,0,13274033,0,7559000,0
2023-06-26,114066827,547618292,4.79,4.82,4.79,4.81,0.04,5497,59764000,6100000,1499000,0,15467000,700000,8663000,0
2023-06-27,146164692,706379667,4.83,4.85,4.8,4.84,0.03,7196,74687020,8200000,5259000,0,25269000,2800000,1920001,0
2023-06-28,119747307,578499897,4.82,4.85,4.81,4.83,-0.01,3442,82490101,5500000,4868000,0,26217000,3525000,7315000,0
2023-06-29,106172593,510577216,4.8,4.84,4.77,4.83,0.0,5144,47904815,1800000,499000,0,36354773,0,1310000,0
2023-06-30,87058496,421108533,4.84,4.86,4.82,4.82,-0.01,3633,49302000,1200000,5603000,0,4677000,10450000,495000,0
2023-07-03,152447708,726722845,4.78,4.79,4.75,4.75,-0.07,5992,76776000,2600000,3811000,0,24045929,27133000,331000,0
2023-07-04,70264369,333427201,4.75,4.77,4.73,4.74,-0.01,3997,20048000,1398000,564000,0,23924754,998000,0,0
2023-07-05,55871859,265698373,4.75,4.78,4.74,4.77,0.03,2723,22994000,1200000,10000,0,21034000,0,2000000,0
2023-07-06,146419043,707190047,4.81,4.86,4.79,4.86,0.09,8363,70591113,200000,20000,0,12418000,0,120000,0
2023-07-07,174189936,849234247,4.88,4.9,4.84,4.87,0.01,7513,50833072,1299000,1075000,0,61576000,3000000,4491000,0
2023-07-10,99622783,484299056,4.87,4.9,4.84,4.87,0.0,4063,43594421,2700000,366000,0,23543386,8389000,6681000,0
2023-07-11,111174473,535381917,4.83,4.84,4.8,4.81,-0.06,5405,21136000,3000000,519000,0,47201979,600000,819000,0
2023-07-12,80927517,388073848,4.8,4.82,4.78,4.78,-0.03,3551,26550000,1000000,10000,0,22434792,100000,6145000,0
2023-07-13,271610768,1280156813,4.73,4.75,4.69,4.74,-0.04,12121,87062000,2000000,2130000,0,74030443,1470000,8774000,0
2023-07-14,174191030,818169983,4.72,4.73,4.68,4.68,-0.06,8830,48230000,450000,2802000,0,68438313,8720000,32000,0
2023-07-17,94609335,443510893,4.7,4.71,4.67,4.68,0.0,3495,29785000,2495000,1409000,0,39579583,9855000,0,0
2023-07-18,143552917,673299058,4.67,4.73,4.66,4.7,0.02,4596,40103950,4615000,27581000,0,68891833,300000,834000,0
2023-07-19,110487390,520597020,4.68,4.74,4.68,4.73,0.03,4355,52855003,2100000,550000,0,21300073,2000000,11012000,0
2023-07-20,68608083,324506266,4.74,4.75,4.71,4.72,-0.01,2609,40618000,0,781000,0,30932546,200000,292000,0
2023-07-21,180517227,863209915,4.78,4.81,4.76,4.76,0.04,6056,97923802,13000000,208000,0,23290000,3048000,7859000,0
2023-07-24,84903092,404768022,4.76,4.79,4.74,4.76,0.0,2994,48037627,2546000,2000000,0,14105964,0,8495000,0
2023-07-25,127961803,602473915,4.74,4.74,4.69,4.7,-0.06,6325,31019804,0,699000,0,31752481,2650000,23972000,0
2023-07-26,60898617,287038756,4.7,4.73,4.7,4.72,0.02,2447,17068914,800000,3563000,0,15734500,0,5662000,0
2023-07-27,97426715,456910647,4.69,4.71,4.68,4.69,-0.03,3831,33141531,200000,13716000,0,55834201,100000,242000,0
2023-07-28,90752301,425728563,4.7,4.72,4.67,4.68,-0.01,3781,33059005,0,7489000,0,34123682,2700000,13092000,0
2023-07-31,187069825,876204583,4.65,4.74,4.64,4.73,0.05,6890,87792814,2250000,1841000,0,25297850,3945000,5034000,0
2023-08-01,75311015,354162349,4.71,4.73,4.69,4.69,-0.04,2832,25244080,0,1780000,0,31188589,4647000,96000,0
2023-08-02,226949457,1081383317,4.72,4.8,4.7,4.8,0.11,9240,169529440,2549000,472000,0,14891000,2399000,9857000,0
2023-08-04,163800325,786488356,4.8,4.82,4.78,4.8,0.0,4767,97353701,800000,519000,0,20079000,700000,5078000,0
2023-08-07,93714107,446021086,4.78,4.79,4.74,4.74,-0.06,3671,4574000,5200000,631000,0,51163799,300000,998000,0
2023-08-08,90687697,433973286,4.76,4.82,4.75,4.8,0.06,3999,62580099,1450000,2575000,0,1533000,3700000,2305000,0
2023-08-09,80160930,383970408,4.81,4.81,4.76,4.8,0.0,3173,15776036,9380000,499000,0,43378178,3787000,67000,0
2023-08-10,183098652,886441144,4.81,4.86,4.8,4.84,0.04,7862,135111137,400000,699000,0,13811000,1776000,5558000,0
2023-08-11,81682336,395214315,4.82,4.86,4.81,4.85,0.01,3582,35341855,1700000,1292000,0,21675000,780000,4935000,0
2023-08-14,214726172,1054593009,4.87,4.94,4.87,4.93,0.08,10033,152396081,1200000,183000,0,11584000,5296000,5000000,0
2023-08-15,120406233,589069279,4.89,4.91,4.87,4.91,-0.02,4603,34026000,3750000,366000,0,49200098,0,1669000,0
2023-08-16,116263977,572751169,4.94,4.95,4.91,4.91,0.0,4631,49693662,2700000,499000,0,21709000,3796000,613000,0
2023-08-17,189422747,931730525,4.95,4.97,4.88,4.88,-0.03,7146,59913000,450000,18000,0,59622000,3350000,2000000,0
2023-08-18,130245320,640069691,4.9,4.94,4.87,4.93,0.05,5508,38185734,3700000,2057000,0,49801000,200000,1300000,0
2023-08-21,94414746,464173503,4.9,4.94,4.89,4.92,-0.01,3930,61591429,100000,3373000,0,7274000,350000,2000,0
2023-08-22,64619620,316772397,4.89,4.92,4.88,4.91,-0.01,2537,28102000,950000,1000000,0,15252000,1036000,2277000,0
2023-08-23,85069668,414853692,4.91,4.91,4.86,4.86,-0.05,4011,10913000,200000,200000,0,38200703,2899000,1643000,0
2023-08-24,159821257,768712603,4.8,4.83,4.79,4.8,-0.06,5839,44242000,1900000,4056000,0,55767310,13968000,1756000,0
2023-08-25,101399893,494271906,4.86,4.9,4.85,4.9,0.1,4204,43269318,300000,944000,0,12732000,900000,665000,0
2023-08-28,63618783,310149485,4.88,4.89,4.86,4.88,-0.02,1943,9939000,11491000,0,0,33009202,300000,1444000,0
2023-08-29,66909717,325525564,4.86,4.89,4.84,4.84,-0.04,2541,20249000,6742000,20000,0,26320003,898000,20000,0
2023-08-30,87923593,422792837,4.8,4.83,4.8,4.81,-0.03,3320,33105000,1700000,0,0,17445718,500000,346000,0
2023-08-31,49373490,238725574,4.83,4.85,4.82,4.83,0.02,1480,30344286,100000,0,0,10836000,7020000,998000,0
2023-09-01,37131255,179222035,4.84,4.85,4.81,4.84,0.01,1803,8693100,400000,290000,0,11820000,400000,168000,0
2023-09-04,49888034,240200640,4.84,4.85,4.8,4.81,-0.03,2559,10273000,1330000,2499000,0,24719000,1298000,498000,0
2023-09-05,39786257,191249472,4.82,4.82,4.8,4.8,-0.01,1628,21897000,700000,0,0,8405000,3400000,0,0
2023-09-06,33767491,162376138,4.8,4.82,4.79,4.82,0.02,1695,18087000,0,0,0,7281000,900000,1997000,0
2023-09-07,63473339,307735019,4.85,4.86,4.83,4.86,0.04,2838,18357000,750000,0,0,7631000,1800000,3004000,0
2023-09-08,63007274,306992290,4.88,4.89,4.85,4.86,0.0,2820,13590870,0,226000,0,17070000,600000,9868000,0
2023-09-11,115584293,566276233,4.86,4.92,4.86,4.91,0.05,4408,75762276,2250000,274000,0,15403000,2000000,7653000,0
2023-09-12,77003802,375260219,4.89,4.91,4.85,4.86,-0.05,3000,15385000,1900000,0,0,48467000,1000000,227000,0
2023-09-13,47306759,229658095,4.86,4.87,4.83,4.86,0.0,2117,12121000,2850000,1497000,0,17871073,2498000,1756000,0
2023-09-14,147956167,709664919,4.83,4.83,4.78,4.78,-0.08,6752,34579000,1650000,686000,0,60396313,3400000,6240000,0
2023-09-15,99049050,472476311,4.77,4.79,4.75,4.75,-0.03,3227,42446000,1400000,3450000,0,19871378,8089000,4001000,0
2023-09-18,75976533,364700698,4.8,4.82,4.79,4.81,0.06,2391,59954331,0,1143000,0,1610000,15900000,100000,0
2023-09-19,61579576,297119901,4.81,4.84,4.8,4.84,0.03,2421,46097000,3400000,499000,0,4367000,1000000,0,0
2023-09-20,81003741,393049053,4.84,4.87,4.83,4.86,0.02,3190,58300441,4891000,1448000,0,7348000,3200000,383000,0
2023-09-21,193009362,949799228,4.9,4.94,4.89,4.93,0.07,7685,148442177,250000,1522000,0,3778000,5300000,499000,0
2023-09-22,91405346,451450805,4.96,4.96,4.92,4.93,0.0,4935,34081102,1000000,551000,0,18113000,4434000,207000,0
2023-09-25,63357595,310169345,4.92,4.92,4.88,4.88,-0.05,3298,10668000,2200000,503000,0,31187000,1500000,0,0
2023-09-26,98181103,484476744,4.92,4.95,4.91,4.95,0.07,3785,54141633,1800000,519000,0,16487000,5700000,136000,0
2023-09-27,77400955,382891532,4.96,4.96,4.92,4.93,-0.02,3368,19866000,700000,153000,0,33118000,0,661000,0
2023-09-28,48147500,236869503,4.91,4.94,4.9,4.93,0.0,2427,17870000,800000,189000,0,8562000,0,1435000,0
2023-10-02,99589144,483828732,4.88,4.88,4.84,4.85,-0.08,4535,30373000,3850000,695000,0,35650690,925000,1187000,0
2023-10-03,76877348,375097312,4.87,4.9,4.86,4.9,0.05,2571,34488000,400000,190000,0,17993000,1750000,192000,0
2023-10-04,216827725,1074986649,4.96,4.98,4.94,4.95,0.05,15936,73590390,3450000,202000,0,61738000,1416000,2882000,0
2023-10-05,117301344,575283789,4.93,4.93,4.88,4.89,-0.06,13772,34285000,4268000,597000,0,56813740,400000,197000,0
2023-10-06,67096617,326818210,4.87,4.89,4.86,4.88,-0.01,13711,11884000,400000,1000,0,37823992,0,1000000,0
2023-10-11,166127922,798011408,4.8,4.83,4.79,4.82,-0.06,16691,90894000,2791000,792000,0,31086747,1618000,50000,0
2023-10-12,95097324,455112971,4.8,4.81,4.77,4.78,-0.04,16099,14031000,1500000,513000,0,45555416,3994000,1051000,0
2023-10-13,57920453,277619815,4.8,4.81,4.78,4.8,0.02,1827,21317000,0,500000,0,20028000,7800000,217000,0
2023-10-16,60340193,291146672,4.83,4.84,4.81,4.82,0.02,2194,22962000,0,3411000,0,17848000,1500000,499000,0
2023-10-17,30202542,145189586,4.79,4.83,4.79,4.82,0.0,1311,14259000,1597000,0,0,3677226,1850000,1501000,0
2023-10-18,88581438,430480238,4.83,4.88,4.83,4.88,0.06,3921,67814704,1497000,599000,0,1991000,2300000,132000,0
2023-10-19,94985546,463865496,4.9,4.9,4.87,4.88,0.0,2714,32764000,0,6487000,0,27444000,5000000,9934000,0
2023-10-20,102735711,504856080,4.9,4.94,4.87,4.89,0.01,4323,36580997,4000000,470000,0,16999534,0,22000,0
2023-10-23,121959955,600866613,4.91,4.95,4.91,4.93,0.04,3783,66139026,1200000,1003000,0,31402000,0,1055000,0
2023-10-24,113306006,560227732,4.94,4.98,4.91,4.91,-0.02,4305,64029264,319000,1812000,0,18987378,1500000,859000,0
2023-10-25,63059792,308412206,4.9,4.91,4.87,4.91,0.0,2218,36824000,2426000,434000,0,17325070,145000,573000,0
2023-10-26,190974926,953038591,4.98,5.01,4.96,5.0,0.09,13314,110470311,3094000,9187000,0,20511000,4352000,1485000,0
2023-10-27,79610013,395629938,4.98,4.99,4.95,4.97,-0.03,2967,4209000,2900000,554000,0,51270000,0,503000,0
2023-10-30,65674740,326002695,4.97,4.98,4.95,4.97,0.0,1892,31934000,0,10000,0,24718000,3800000,999000,0
2023-10-31,114383486,571944234,4.96,5.03,4.96,5.02,0.05,4402,72385826,50000,1999000,0,14513000,8248000,849000,0
2023-11-01,80964733,404915413,4.99,5.03,4.98,5.0,-0.02,3514,34890000,1175000,0,0,21892000,1200000,499000,0
2023-11-02,187601867,920990157,4.93,4.94,4.89,4.89,-0.11,6523,68760000,2000000,3121000,0,54195206,1475000,499000,0
2023-11-03,100550235,489302476,4.87,4.88,4.85,4.86,-0.03,4022,26947000,2400000,215000,0,38235382,0,363000,0
2023-11-06,129162646,621094942,4.82,4.83,4.79,4.82,-0.04,5968,13313000,800000,175000,0,65895633,3144000,8436000,0
2023-11-07,62922294,303418438,4.83,4.84,4.81,4.82,0.0,1883,9956000,2000000,2639000,0,34983000,400000,8691000,0
2023-11-08,83618789,401014029,4.8,4.82,4.78,4.79,-0.03,3531,14647000,2000000,42000,0,44718107,3600000,488000,0
2023-11-09,59083549,283375828,4.8,4.82,4.78,4.78,-0.01,2411,17450000,0,71000,0,30292270,8200000,50000,0
2023-11-10,65913327,317545138,4.82,4.83,4.81,4.81,0.03,2021,23728000,100000,2000,0,28788330,20000,0,0
2023-11-13,108154377,513368742,4.73,4.77,4.72,4.76,-0.05,4710,38791000,1000000,327000,0,31413770,9191000,150000,0
2023-11-14,68050482,322067306,4.74,4.75,4.72,4.73,-0.03,4110,14439000,0,564000,0,23894202,2122000,416000,0
