Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2016-01-04,177702038,2212210639,13.04,13.08,11.92,11.92,-1.17,21369,25524000,635000,908000,0,99736000,2685000,33000,0
2016-01-05,186252005,2178556109,11.46,12.09,11.29,11.72,-0.2,19831,51877000,0,654000,0,79850000,45000,600000,0
2016-01-06,100612000,1193767430,11.84,12.05,11.7,11.94,0.22,9832,32233000,0,1160000,0,39385000,20000,1210000,0
2016-01-07,211313291,2309576521,11.9,11.93,10.48,10.63,-1.31,21589,54584000,15000,611000,0,95897000,2195000,657000,0
2016-01-08,193264554,2134035859,10.79,11.5,10.5,11.5,0.87,20080,76474000,0,0,0,60895000,62000,0,0
2016-01-11,143987200,1547020227,11.0,11.0,10.51,10.52,-0.98,17399,23080000,10000,206000,0,82246000,23000,200000,0
2016-01-12,154861350,1632199045,10.52,10.71,10.35,10.4,-0.12,16354,49038000,0,4000,0,62509000,16000,0,0
2016-01-13,123494010,1321033669,10.73,10.91,10.47,10.57,0.17,13458,34246000,0,0,0,59760000,0,0,0
2016-01-14,182950000,1830835119,10.05,10.27,9.72,10.27,-0.3,20054,56688000,20000,100000,0,64990000,44000,0,0
2016-01-15,138775000,1415895790,10.53,10.54,9.87,9.87,-0.4,14694,35893000,20000,9000,0,61106000,30000,5000,0
2016-01-18,113993512,1137632671,9.6,10.25,9.5,10.24,0.37,12807,47552000,10000,0,0,35086000,24000,0,0
2016-01-19,150800944,1543893657,10.16,10.55,9.99,10.55,0.31,15230,60957000,0,0,0,60165000,0,0,0
2016-01-20,131122300,1340151487,10.48,10.5,9.9,10.08,-0.47,14920,37687000,10000,79000,0,62254000,10000,0,1300000
2016-01-21,125368101,1286011307,10.2,10.48,10.1,10.12,0.04,13626,51773000,0,0,0,49528000,20000,20000,0
2016-01-22,191590113,1913490241,10.28,10.28,9.76,9.92,-0.2,20545,33727000,110000,0,0,113738000,30000,0,0
2016-01-25,102015000,1028791860,10.1,10.19,9.99,9.99,0.07,10531,33888000,300000,100000,70000,39922000,0,0,0
2016-01-26,122065041,1195287735,9.91,9.93,9.62,9.67,-0.32,13286,32679000,0,10000,60000,52562000,14000,0,2700000
2016-01-27,271410778,2491695985,9.49,9.49,8.89,9.04,-0.63,28398,46684000,258000,15000,40000,128508000,0,0,2600000
2016-01-28,116366300,1065727055,9.14,9.28,9.01,9.04,0.0,11161,33523000,2290000,52000,0,43626000,0,0,0
2016-01-29,175046500,1633011499,9.01,9.53,9.01,9.48,0.44,15591,78197000,0,463000,0,54522000,0,50000,0
2016-01-30,55924134,541803893,9.61,9.79,9.57,9.79,0.31,6516,880000,100000,0,0,12912000,0,0,0
2016-02-01,221100312,2066196569,9.64,9.72,9.08,9.14,-0.65,20692,35509000,0,200000,20000,135733000,0,2881000,0
2016-02-02,150608200,1401692300,9.08,9.52,9.0,9.38,0.24,14875,55041000,470000,2696000,0,45549000,60000,0,150000
2016-02-03,124687000,1141565430,9.25,9.32,9.08,9.13,-0.25,11500,29784000,0,5260000,0,54196000,0,8500000,0
2016-02-15,119008200,1083343196,9.06,9.3,8.98,9.3,0.17,10630,37535000,62000,287000,17000,41103000,12000,15000,0
2016-02-16,159575999,1537685010,9.3,9.8,9.3,9.74,0.44,14673,57618000,144000,9764000,23000,35123000,444000,7597000,0
2016-02-17,138565200,1346759805,9.79,9.86,9.52,9.71,-0.03,11275,39268000,966000,9595000,541000,48022000,206000,0,0
2016-02-18,126626028,1257353285,9.96,10.06,9.83,9.83,0.12,16348,29646000,415000,1305000,40000,35760000,815000,5000,0
2016-02-19,89636400,876807503,9.76,9.87,9.7,9.79,-0.04,6671,28129000,50000,931000,346000,32118000,195000,705000,0
2016-02-22,169676762,1703351565,9.96,10.19,9.87,10.19,0.4,13345,84382000,185000,6501000,0,40936000,110000,175000,0
2016-02-23,118310128,1191421600,10.25,10.28,9.94,9.95,-0.24,12418,20055000,20000,226000,20000,51883000,255000,748000,0
2016-02-24,112079100,1115740893,9.9,10.14,9.8,9.81,-0.14,10440,33512000,880000,867000,0,36518000,180000,2117000,0
2016-02-25,213393220,2083286406,10.05,10.1,9.48,9.53,-0.28,18457,46915000,50000,8000,0,88487000,710000,4726000,0
2016-02-26,139150050,1311877105,9.41,9.53,9.35,9.35,-0.18,13411,29324000,0,104000,30000,68911000,0,1149000,0
2016-03-01,127523743,1194354017,9.4,9.46,9.29,9.29,-0.06,10674,23728000,0,540000,20000,66883000,0,3593000,0
2016-03-02,212284019,2089432810,9.64,10.07,9.64,10.0,0.71,19685,106758000,1610000,6375000,0,24443000,300000,0,0
2016-03-03,143200270,1455252540,10.16,10.26,10.04,10.14,0.14,13119,49598000,271000,5233000,0,31411000,832000,0,0
2016-03-04,191975119,1965299691,10.2,10.43,10.06,10.43,0.29,17432,110207000,1268000,10804000,18000,29676000,482000,480000,0
2016-03-07,156675504,1679604956,10.76,10.88,10.52,10.56,0.13,13800,62183000,141000,3072000,0,48083000,246000,651000,0
2016-03-08,207309424,2118362168,10.69,10.72,10.0,10.17,-0.39,20038,47953000,2400000,254000,30000,97543000,289000,15091000,0
2016-03-09,111625300,1143411677,10.3,10.35,10.13,10.25,0.08,9654,37755000,111000,3452000,0,26824000,0,0,0
2016-03-10,114928100,1202278611,10.35,10.58,10.33,10.54,0.29,10343,50645000,140000,5719000,0,21202000,140000,0,0
2016-03-11,177872840,1813008152,10.2,10.34,10.09,10.29,-0.25,15710,34532000,955000,0,31000,90616000,132000,8190000,0
2016-03-14,179746802,1900972413,10.43,10.76,10.36,10.66,0.37,15778,84546000,1090000,1592000,0,39711000,740000,0,0
2016-03-15,158806100,1645745947,10.57,10.57,10.21,10.23,-0.43,14515,21531000,530000,70000,31000,97819000,0,1208000,0
2016-03-16,199031580,2109755456,10.43,10.73,10.4,10.65,0.42,15545,139999000,374000,6096000,0,26781000,3008000,0,0
2016-03-17,193540595,2098321654,10.84,10.94,10.62,10.88,0.23,16626,74342000,3200000,900000,0,59009000,11000,0,0
2016-03-18,166820898,1836587919,10.91,11.17,10.82,11.06,0.18,15417,35616000,3284000,3591000,0,44372000,521000,583000,0
2016-03-21,199358894,2276280020,11.18,11.65,11.11,11.53,0.47,18287,59410000,822000,3632000,0,48162000,1079000,0,0
2016-03-22,167654799,1924942194,11.65,11.65,11.31,11.42,-0.11,16769,16056000,352000,0,100000,79103000,140000,5010000,0
2016-03-23,116737099,1323104233,11.38,11.49,11.22,11.27,-0.15,11647,11265000,340000,300000,25000,50411000,629000,4502000,0
2016-03-24,109488400,1220470398,11.3,11.3,11.0,11.2,-0.07,11672,17574000,639000,0,0,42652000,120000,2323000,0
2016-03-25,85224728,949142302,11.03,11.24,11.03,11.19,-0.01,7746,23694000,345000,1802000,25000,23364000,250000,649000,0
2016-03-28,99900000,1126775040,11.28,11.42,11.13,11.13,-0.06,9307,16477000,3170000,25000,0,35836000,1227000,4654000,0
2016-03-29,137955300,1509682535,11.08,11.1,10.79,10.81,-0.32,13274,20064000,2649000,433000,0,54749000,1908000,3129000,0
2016-03-30,91636400,1012609758,10.91,11.15,10.89,11.07,0.26,8318,29613000,629000,4306000,264000,17487000,340000,7000,0
2016-03-31,118754000,1340741620,11.38,11.42,11.13,11.25,0.18,11018,29451000,389000,293000,0,31093000,249000,577000,0
2016-04-01,133122595,1469497355,11.12,11.27,10.83,10.97,-0.28,13313,24335000,160000,0,30000,39520000,1910000,4853000,0
2016-04-06,126816400,1425638464,11.2,11.32,11.17,11.28,0.31,10725,55963000,519000,24171000,0,15296000,329000,250000,0
2016-04-07,131106000,1466964780,11.38,11.41,11.05,11.05,-0.23,11861,11229000,840000,125000,0,51770000,5199000,4977000,0
2016-04-08,108043300,1178897895,10.93,10.99,10.83,10.99,-0.06,10785,23105000,10000,0,20000,36865000,40000,4527000,0
2016-04-11,122718100,1375614438,11.06,11.31,10.96,11.24,0.25,10578,61757000,369000,9212000,0,18312000,108000,25000,0
2016-04-12,83657400,930507514,11.2,11.21,11.05,11.06,-0.18,7941,8697000,400000,0,25000,45588000,81000,5394000,0
2016-04-13,201275202,2308994614,11.21,11.63,11.21,11.59,0.53,18272,100102000,1680000,33413000,0,15310000,410000,0,0
2016-04-14,129312100,1489831452,11.6,11.69,11.41,11.42,-0.17,11684,19001000,440000,213000,2000000,58182000,130000,3651000,0
2016-04-15,86910505,997213617,11.53,11.58,11.41,11.46,0.04,7177,18233000,1400000,317000,1000000,34231000,1000000,3139000,0
2016-04-18,86292100,973731330,11.36,11.37,11.2,11.28,-0.18,8073,20922000,1300000,0,25000,30138000,1500000,3278000,0
2016-04-19,105701100,1196055618,11.44,11.48,11.21,11.23,-0.05,10095,12670000,270000,300000,0,46188000,100000,7258000,0
2016-04-20,214596900,2353876672,11.33,11.42,10.61,10.7,-0.53,22865,22088000,1672000,200000,0,71468000,1300000,16881000,0
2016-04-21,138892000,1534711400,10.96,11.18,10.91,11.05,0.35,14482,67064000,348000,13395000,0,18346000,940000,0,0
2016-04-22,94622500,1053131534,11.0,11.25,10.94,11.19,0.14,9591,44538000,287000,6775000,0,11202000,575000,488000,0
2016-04-25,72070100,800002642,11.25,11.25,10.96,11.19,0.0,6747,22994000,100000,4342000,0,25478000,30000,0,3000000
2016-04-26,75080000,840684490,11.16,11.33,11.11,11.14,-0.05,6877,22103000,60000,1086000,0,22513000,310000,3603000,0
2016-04-27,66291500,745947130,11.23,11.31,11.19,11.24,0.1,5909,21558000,490000,4895000,0,11330000,240000,10000,0
2016-04-28,85375180,949610804,11.28,11.28,11.0,11.05,-0.19,8651,12388000,20000,0,0,40037000,300000,2280000,390000
2016-04-29,57873200,640891004,11.09,11.12,11.01,11.07,0.02,4850,24306000,30000,3514000,0,16941000,52000,4794000,0
2016-05-03,133585100,1503669715,11.08,11.4,10.97,11.35,0.28,11735,67316000,548000,19175000,2067000,24292000,0,1152000,0
2016-05-04,67685300,758873308,11.22,11.28,11.15,11.2,-0.15,6202,6211000,126000,0,1060000,38174000,100000,4553000,0
2016-05-05,61942415,691173639,11.2,11.23,11.1,11.15,-0.05,4895,11158000,30000,0,0,25827000,1533000,9148000,0
2016-05-06,116308274,1278134252,11.18,11.21,10.86,10.92,-0.23,11285,19476000,100000,20000,78000,46850000,970000,6061000,761000
2016-05-09,155614243,1651911497,10.8,10.8,10.48,10.49,-0.43,15981,25360000,70000,1000,0,64524000,620000,9103000,3075000
2016-05-10,69076400,720121020,10.36,10.55,10.3,10.48,-0.01,7595,19051000,65000,1000,30000,19853000,268000,3059000,0
2016-05-11,71632095,753165216,10.59,10.6,10.4,10.5,0.02,6750,19702000,10000,352000,0,20197000,0,8373000,0
2016-05-12,63173956,658504236,10.43,10.51,10.31,10.5,0.0,6227,24557000,0,1322000,0,15836000,110000,3183000,0
2016-05-13,42268100,444978169,10.52,10.6,10.46,10.52,0.02,4366,14276000,60000,3776000,0,12181000,0,48000,0
2016-05-16,42532285,447308426,10.45,10.61,10.4,10.52,0.0,4077,18950000,0,228000,0,12089000,0,512000,0
2016-05-17,57658000,606044350,10.6,10.62,10.43,10.45,-0.07,5641,13099000,10000,550000,0,30186000,0,1592000,0
2016-05-18,86971504,897618556,10.45,10.5,10.17,10.25,-0.2,9792,18292000,0,394000,0,41332000,920000,2761000,0
2016-05-19,67599400,708861176,10.4,10.57,10.38,10.54,0.29,7013,39937000,30000,1948000,0,6785000,0,0,0
2016-05-20,59203600,625229249,10.5,10.63,10.46,10.58,0.04,4604,32878000,360000,3595000,0,7378000,0,0,0
2016-05-23,51510000,551218640,10.66,10.79,10.61,10.66,0.08,5414,12878000,0,3684000,0,11047000,0,0,0
