Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,90188258,1368904042,15.39,15.41,14.94,15.26,-0.21,10748,23229427,0,5974000,0,39193184,100000,13056000,0
2023-01-04,61967942,953354791,15.36,15.51,15.2,15.28,0.02,6569,25217774,0,3472000,0,20181138,60000,3008000,0
2023-01-05,120374926,1915950311,15.74,16.18,15.66,16.11,0.83,14421,57091615,175000,17599000,4000000,21001787,220000,1755000,0
2023-01-06,88659675,1444427452,16.23,16.43,16.13,16.29,0.18,9127,33076104,100000,5324000,0,25963933,27000,4311000,0
2023-01-09,76791972,1265905716,16.58,16.6,16.3,16.49,0.2,7460,20380541,50000,2119000,0,28267195,0,7194000,0
2023-01-10,55412753,913247648,16.49,16.57,16.38,16.51,0.02,5414,18920477,0,1952000,0,18222637,0,3626000,0
2023-01-11,72275831,1202217130,16.66,16.78,16.44,16.69,0.18,6911,32157792,50000,4617000,0,21113316,0,1026000,0
2023-01-12,57438581,953829234,16.69,16.74,16.47,16.52,-0.17,5830,11320577,0,2230000,0,23611173,200000,6397000,0
2023-01-13,102283038,1723533169,16.73,17.0,16.68,16.92,0.4,9235,50200420,200000,16333000,0,20640342,0,1222000,0
2023-01-16,129933354,2285192905,17.22,17.98,17.16,17.85,0.93,15686,50896478,669000,19509000,0,25564651,0,4043000,0
2023-01-17,72182549,1268663262,17.74,17.78,17.41,17.42,-0.43,8009,12139019,441000,508000,0,30778126,0,15352000,0
2023-01-30,114404083,2071098127,18.14,18.39,17.74,17.8,0.38,11482,31616610,100000,15908000,0,26978407,85000,18619000,0
2023-01-31,66514513,1170505369,17.74,17.95,17.28,17.37,-0.43,8645,16028525,440000,2857000,0,24467067,300000,10783000,0
2023-02-01,60073943,1034127542,17.37,17.42,16.96,17.22,-0.15,8798,8187517,20000,1890000,0,27437610,57000,8212000,0
2023-02-02,63110677,1087000488,17.48,17.48,17.0,17.16,-0.06,7816,12135260,160000,3353000,0,33318230,0,3552000,0
2023-02-03,88133933,1466335976,16.91,16.94,16.45,16.51,-0.65,13861,12724073,0,2338000,0,46590423,383000,7866000,0
2023-02-06,78382423,1264566091,16.43,16.44,15.98,16.01,-0.5,11941,14291000,0,5280000,0,43345616,570000,4179000,0
