Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2023-01-03,528615,19871383,37.25,37.8,36.8,37.8,0.7,284,0.0,40000.0,94000.0,0.0,0.0,7000.0,49000.0,0.0
2023-01-04,362697,13796009,37.8,38.25,37.75,38.0,0.2,344,0.0,76000.0,79000.0,0.0,0.0,0.0,56000.0,0.0
2023-01-05,357147,13617174,38.2,38.65,37.75,37.75,-0.25,304,0.0,13000.0,30000.0,0.0,0.0,3000.0,137000.0,0.0
2023-01-06,322229,12265232,37.55,38.5,37.45,38.15,0.4,303,0.0,7000.0,108000.0,0.0,15308.0,6000.0,27000.0,0.0
2023-01-09,1069718,41403225,38.5,39.15,38.5,38.7,0.55,472,0.0,0.0,108000.0,0.0,0.0,0.0,53000.0,0.0
2023-01-10,383057,14791333,38.8,38.9,38.35,38.4,-0.3,466,0.0,10000.0,72000.0,0.0,0.0,0.0,110000.0,0.0
2023-01-11,208282,7982376,38.7,38.8,38.1,38.5,0.1,227,0.0,0.0,13000.0,0.0,0.0,0.0,46000.0,0.0
2023-01-12,2722918,107938590,38.95,40.5,38.75,38.75,0.25,2025,0.0,2000.0,210000.0,0.0,0.0,3000.0,609000.0,0.0
2023-01-13,891521,34191266,38.75,39.1,38.0,38.0,-0.75,727,0.0,0.0,55000.0,0.0,0.0,0.0,184000.0,0.0
2023-01-16,507436,19422454,38.2,38.5,37.95,38.5,0.5,431,0.0,0.0,96000.0,0.0,0.0,0.0,79000.0,0.0
2023-01-17,358740,13830726,38.65,38.7,38.4,38.5,0.0,308,0.0,0.0,19000.0,0.0,0.0,0.0,75000.0,0.0
2023-01-30,1134275,44807158,39.3,39.8,39.05,39.7,1.2,782,0.0,0.0,304000.0,0.0,0.0,12000.0,217000.0,0.0
2023-01-31,1049673,42230423,39.7,40.5,39.7,40.3,0.6,731,0.0,0.0,379000.0,0.0,0.0,0.0,64000.0,0.0
2023-02-01,1975931,81354322,40.65,41.7,40.5,41.7,1.4,1259,0.0,0.0,580000.0,0.0,0.0,0.0,145000.0,0.0
2023-02-02,3899546,162058905,41.2,42.2,40.6,42.0,0.0,2087,0.0,0.0,953000.0,0.0,0.0,0.0,525000.0,0.0
2023-02-03,1486986,61893339,42.0,42.1,41.2,41.2,-0.8,978,0.0,0.0,610000.0,0.0,0.0,0.0,98000.0,0.0
2023-02-06,960408,39380002,40.7,41.5,40.6,41.0,-0.2,606,0.0,1000.0,337000.0,0.0,0.0,10000.0,131000.0,0.0
2023-02-07,670071,27661114,41.75,41.75,41.0,41.25,0.25,470,0.0,0.0,88000.0,0.0,0.0,0.0,138000.0,0.0
2023-02-08,674632,27961636,41.7,41.75,41.25,41.3,0.05,468,0.0,0.0,165000.0,0.0,0.0,0.0,96000.0,0.0
2023-02-09,1461810,61221787,41.3,42.45,41.3,41.7,0.4,996,0.0,0.0,274000.0,0.0,0.0,0.0,242000.0,0.0
2023-02-10,1513230,61673067,41.7,41.75,40.4,40.6,-1.1,865,0.0,0.0,396000.0,0.0,0.0,0.0,227000.0,0.0
2023-02-13,379092,15334491,40.55,40.7,40.05,40.55,-0.05,299,0.0,0.0,136000.0,0.0,0.0,1000.0,32000.0,0.0
2023-02-14,1755684,73091950,41.0,42.1,40.8,41.2,0.65,1136,0.0,1000.0,333000.0,0.0,0.0,6000.0,76000.0,0.0
2023-02-15,2281730,95431795,41.3,42.15,41.3,41.75,0.55,1148,0.0,0.0,674000.0,0.0,0.0,1000.0,222000.0,0.0
2023-02-16,956193,40003989,41.75,42.1,41.55,41.85,0.1,730,0.0,0.0,165000.0,0.0,0.0,0.0,151000.0,0.0
2023-02-17,987046,41456022,41.5,42.35,41.45,42.0,0.15,737,0.0,0.0,303706.0,0.0,0.0,0.0,104706.0,0.0
2023-02-20,1699614,72272372,42.0,43.5,42.0,42.2,0.2,1215,0.0,0.0,297000.0,0.0,0.0,0.0,408000.0,0.0
2023-02-21,2147733,92199677,42.25,43.45,42.25,43.15,0.95,1361,0.0,0.0,769000.0,0.0,0.0,8000.0,252000.0,0.0
