Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Investor,buy_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Investor,sell_Investment_Trust
2016-01-04,6723210,442762962,67.3,67.3,65.1,66.2,-1.4,3344,20000,0,2216400,100000,2000,20000,3474000,0
2016-01-05,7487003,490213682,66.0,66.0,65.2,65.6,-0.6,3796,8000,0,5093089,0,12000,3000,3314238,85000
2016-01-06,6310838,411891981,65.4,65.8,64.9,65.3,-0.3,3172,10000,27000,2886766,0,34000,0,1883000,319000
2016-01-07,6527195,424222384,65.2,65.7,64.5,65.6,0.3,2937,66000,0,3518982,0,4000,0,2500456,19000
2016-01-08,5649196,369089067,65.2,66.0,64.8,66.0,0.4,2263,0,5000,3947000,100000,27000,41000,2883626,0
2016-01-11,8800794,574977338,65.1,66.4,64.7,66.1,0.1,3361,4000,0,4197335,0,37000,0,5206000,0
2016-01-12,4537185,299247719,65.7,66.4,65.5,66.4,0.3,1743,0,0,2152000,0,38000,39000,2137000,0
2016-01-13,3249744,216353248,66.3,67.0,66.0,67.0,0.6,1330,3000,0,1889000,0,6000,2000,1153410,0
2016-01-14,3678931,246234172,66.4,67.5,65.9,67.2,0.2,1761,0,0,2140291,0,16000,0,1477000,0
2016-01-15,6351241,423375147,67.0,67.3,65.8,67.3,0.1,2683,0,0,906000,0,58000,108000,4577436,19000
2016-01-18,6856907,461242876,66.8,68.3,66.3,68.0,0.7,2620,2000,0,6067127,0,1000,0,5098000,0
2016-01-19,4295472,294612296,68.0,69.1,67.4,68.6,0.6,2197,3000,5000,3797395,0,1000,1000,2483373,5000
2016-01-20,5873014,397962944,68.2,68.3,67.2,68.2,-0.4,3054,2000,37000,3920530,0,141000,57000,4512000,19000
2016-01-21,3593893,243434074,68.0,68.0,67.3,67.7,-0.5,1715,0,0,2368577,0,14000,8000,2967000,21000
2016-01-22,3027668,205757587,68.3,68.3,67.5,68.2,0.5,1561,0,10000,2668000,0,57000,3000,2419408,100000
2016-01-25,5250892,364951103,68.7,70.0,68.6,69.7,1.5,3148,10000,0,4859000,0,1000,5000,1647000,100000
2016-01-26,4519191,312857679,68.8,69.6,68.4,69.3,-0.4,3009,0,0,4262146,0,17000,11000,2845000,18000
2016-01-27,3569830,247379447,69.4,70.1,68.6,70.1,0.8,1843,18000,6000,3017000,0,1000,2000,1389638,75000
2016-01-28,6111421,422264956,69.9,70.0,68.2,68.6,-1.5,3261,4000,0,4125000,0,0,2000,2757482,0
2016-01-29,6563644,450424436,68.3,69.0,67.7,68.7,0.1,2694,8000,83000,4806749,0,0,10000,4972863,0
2016-01-30,1220827,83639410,68.7,69.0,68.3,68.7,0.0,1100,16000,1000,199000,22000,7000,38000,0,0
2016-02-01,4859590,337356135,68.7,69.9,68.3,69.9,1.2,2693,0,0,3859870,0,20000,0,1768040,75000
2016-02-02,4532201,314948406,69.8,69.8,69.0,69.7,-0.2,1928,0,0,3392638,0,0,0,2035670,304000
2016-02-03,5629213,390325677,69.9,69.9,69.0,69.4,-0.3,2348,0,0,3194000,0,0,0,2644260,0
2016-02-15,6580209,461005201,68.9,70.5,68.7,70.4,1.0,3230,7000,0,5556291,0,0,51000,2896431,516
2016-02-16,4574464,319782622,70.0,70.4,69.6,69.8,-0.6,2365,64000,115000,2615000,0,4000,1000,2520000,0
2016-02-17,6638193,459158968,69.8,69.8,68.9,69.1,-0.7,3220,284000,81000,1836582,0,2000,1000,4683000,50000
2016-02-18,7038967,489208395,69.6,69.9,69.2,69.6,0.5,3356,0,0,3441000,0,7000,3000,4786717,220000
2016-02-19,6838988,470731072,69.3,69.3,68.5,69.0,-0.6,3815,0,35000,4013402,0,0,0,4948751,250000
2016-02-22,4181422,288786996,69.1,69.3,68.9,69.1,0.1,2594,0,0,2777000,0,0,3000,2384563,0
2016-02-23,7138832,488615835,68.9,69.0,68.0,68.2,-0.9,4241,0,15000,2261120,0,0,21000,5479000,0
2016-02-24,5170785,352316803,68.4,68.8,68.0,68.1,-0.1,2566,0,0,2868000,0,0,56000,3259619,0
2016-02-25,5207508,357432046,68.1,69.1,68.1,69.0,0.9,2625,0,50000,2566848,0,1000,5000,2884000,0
2016-02-26,5394490,374311900,69.4,69.8,69.0,69.5,0.5,2508,0,0,4035000,0,0,3000,2326548,0
2016-03-01,4023812,279764488,69.8,69.8,69.1,69.8,0.3,1730,2000,0,2887424,0,1000,0,2343676,0
2016-03-02,3654280,254573541,69.8,69.9,69.5,69.5,-0.3,1763,0,0,1960162,0,0,24000,1797000,2000
2016-03-03,5592447,391447558,69.5,70.4,69.5,70.4,0.9,3251,4000,0,4055536,0,0,34000,2234000,0
2016-03-04,3977082,278204434,70.3,70.3,69.8,70.1,-0.3,1872,0,0,2308035,0,0,44000,2197581,0
2016-03-07,3743833,262363245,70.2,70.3,69.8,70.3,0.2,1965,0,0,3285037,0,1000,29000,2419000,62000
2016-03-08,7404357,514705608,70.3,70.3,69.0,69.0,-1.3,3241,6000,0,3671819,0,0,54000,6495088,0
2016-03-09,3272981,228708970,69.0,70.3,69.0,70.3,1.3,1968,0,128000,2333428,0,7000,8000,1445772,9000
2016-03-10,4305955,301110342,70.0,70.5,69.7,69.9,-0.4,2182,0,0,2427030,0,0,0,2622195,313000
2016-03-11,4050086,284569733,70.2,70.5,70.0,70.3,0.4,1825,0,0,3696000,0,841,6000,1273000,237000
2016-03-14,1964197,137840441,70.0,70.4,69.9,70.4,0.1,1315,0,1000,1062000,0,0,0,946000,296000
2016-03-15,3821505,269087697,70.4,70.6,70.2,70.6,0.2,1989,0,1000,2670000,0,0,0,1627687,0
2016-03-16,3866312,274092305,70.6,71.2,70.4,71.2,0.6,2286,10000,236000,3242000,0,0,12000,1193000,0
2016-03-17,5987535,429843166,70.8,72.5,70.8,72.1,0.9,2478,4000,5000,5028234,0,0,24000,2893764,0
2016-03-18,9115587,655031372,72.1,72.5,71.4,71.9,-0.2,2806,0,0,7294893,14000,0,7000,6290635,0
2016-03-21,4241150,303133248,71.6,71.8,71.3,71.4,-0.5,2052,0,0,3229000,46000,0,4000,3008000,0
2016-03-22,6975683,493880356,71.2,71.5,70.4,70.9,-0.5,2853,0,9000,5324592,37000,0,47000,4664552,166000
2016-03-23,3773704,270311050,71.2,72.1,70.9,72.1,1.2,2172,0,0,3472000,0,0,2000,1305000,164000
2016-03-24,2799187,201904653,71.5,72.5,71.5,72.5,0.4,1394,0,0,2220000,0,0,3000,579000,0
2016-03-25,1919471,138467294,72.5,72.5,71.9,72.2,-0.3,1121,0,0,1350000,59000,0,2000,499000,0
2016-03-28,1675401,120510521,72.1,72.1,71.7,72.0,-0.2,1068,0,3000,958000,166000,2000,0,358439,0
2016-03-29,1752713,125393376,71.8,72.0,71.3,71.6,-0.4,1194,0,0,1121000,0,0,0,1130546,1000
2016-03-30,3627490,259608960,71.6,72.0,71.3,71.6,0.0,1983,0,1000,3211163,0,0,0,1594000,0
